iter	Logloss
0	0.6750887372
1	0.6582337618
2	0.6421880888
3	0.6275477992
4	0.6140424024
5	0.6011782577
6	0.5894163002
7	0.5782600939
8	0.5680826162
9	0.5589499182
10	0.5503937277
11	0.5418218843
12	0.534328315
13	0.52730901
14	0.5206311456
15	0.5140695549
16	0.5075010068
17	0.5015331805
18	0.496497339
19	0.4909645178
20	0.4863275055
21	0.4822053531
22	0.4783404298
23	0.4744236817
24	0.470914668
25	0.4677345393
26	0.4647514439
27	0.4615214709
28	0.4586374504
29	0.4557845819
30	0.4533225193
31	0.4507268165
32	0.4484428345
33	0.4462827674
34	0.4444841127
35	0.4426269621
36	0.440736066
37	0.43910841
38	0.4377417333
39	0.4362469602
40	0.4346654922
41	0.4335381497
42	0.4323239602
43	0.4312982201
44	0.4303638365
45	0.429484651
46	0.4286399162
47	0.4278632438
48	0.4271327846
49	0.4262412029
50	0.4255043738
51	0.4246567657
52	0.4240891214
53	0.4235549956
54	0.4227900768
55	0.4222568527
56	0.421814063
57	0.4212890153
58	0.4208703983
59	0.4203417536
60	0.4199237744
61	0.419418291
62	0.4190487339
63	0.4187611553
64	0.4182541204
65	0.4179468982
66	0.4175888782
67	0.4172117667
68	0.4168728263
69	0.4163939187
70	0.4160579962
71	0.4156544546
72	0.415343398
73	0.4151809993
74	0.414796287
75	0.4145233578
76	0.4143872046
77	0.4142681505
78	0.4140570193
79	0.41395162
80	0.4138025301
81	0.4137090372
82	0.4135411764
83	0.4132551781
84	0.4129926997
85	0.4128370921
86	0.4127402636
87	0.4125549381
88	0.4123609829
89	0.4121790714
90	0.4120434747
91	0.4119936352
92	0.4119376471
93	0.411757763
94	0.4115869781
95	0.4115215023
96	0.4114848556
97	0.4112033895
98	0.4110850338
99	0.4110249135
100	0.410972894
101	0.4108381491
102	0.4107738036
103	0.4106377799
104	0.4106157383
105	0.4105355657
106	0.4103452138
107	0.4102060627
108	0.4101034728
109	0.4100423675
110	0.4099907119
111	0.4099610745
112	0.4099262303
113	0.4098437842
114	0.4098025361
115	0.4097914051
116	0.4097608057
117	0.4096325762
118	0.4096233302
119	0.4094546543
120	0.4094286761
121	0.4094041852
122	0.4093968724
123	0.4093204176
124	0.4093140553
125	0.4092858075
126	0.4091528769
127	0.4089569601
128	0.4088265814
129	0.4087409654
130	0.4087031481
131	0.4085808738
132	0.408498508
133	0.4084279454
134	0.4083378097
135	0.4082956663
136	0.4082340685
137	0.4081609557
138	0.4081585335
139	0.4081074432
140	0.4080346737
141	0.4079687522
142	0.4078833642
143	0.4077972812
144	0.4077291857
145	0.4076549204
146	0.4076497692
147	0.4076484697
148	0.4075780007
149	0.4075767496
150	0.4074803131
151	0.4074028121
152	0.4073125867
153	0.4072542281
154	0.4071898747
155	0.4071866959
156	0.4071804117
157	0.4071110811
158	0.407029116
159	0.4069881675
160	0.4069020702
161	0.4068840723
162	0.406878766
163	0.4068295628
164	0.4066975194
165	0.406607841
166	0.4065846816
167	0.4065670043
168	0.4065247624
169	0.4064423237
170	0.4063435306
171	0.4063081927
172	0.4062908253
173	0.4061876435
174	0.4061416173
175	0.4061195126
176	0.4060996388
177	0.4060425677
178	0.4060017787
179	0.4059259666
180	0.4058469493
181	0.405846867
182	0.4057924535
183	0.4056728596
184	0.4056072723
185	0.4055378302
186	0.4054546295
187	0.4054036424
188	0.4053564547
189	0.4053002762
190	0.4052695698
191	0.4051798669
192	0.4051615185
193	0.405149483
194	0.405149473
195	0.4051220083
196	0.4050398598
197	0.4049347134
198	0.4047953657
199	0.404744628
200	0.404695943
